Date,Sydney,Melbourne,Brisbane,Adelaide,Perth,Hobart,Darwin,Canberra
1/03/2002,365.00,241.00,185.00,166.00,190.00,123.30,190.00,245.00
1/06/2002,393.50,260.00,182.60,175.00,190.00,117.00,188.30,258.00
1/09/2002,413.00,265.00,198.00,181.00,195.00,124.00,190.00,275.00
1/12/2002,444.00,280.00,208.00,195.00,206.00,128.00,195.00,291.00
1/03/2003,434.50,270.00,225.00,209.40,216.00,145.00,198.00,300.00
1/06/2003,460.00,287.50,240.00,220.50,225.00,149.00,200.50,334.50
1/09/2003,480.00,295.00,269.00,235.00,236.00,165.00,214.00,360.00
1/12/2003,520.00,320.00,296.40,247.50,250.00,182.30,226.00,375.00
1/03/2004,523.00,305.00,302.70,250.00,255.00,200.00,239.50,375.00
1/06/2004,498.00,307.50,305.00,257.50,262.00,225.00,248.80,375.00
1/09/2004,500.00,302.00,305.00,261.00,259.00,230.00,245.00,352.50
1/12/2004,515.00,321.00,310.00,270.00,280.00,237.30,259.00,372.00
1/03/2005,486.00,310.00,312.00,270.00,290.00,240.00,275.00,374.70
1/06/2005,500.00,320.00,312.00,271.00,300.00,250.00,280.00,373.50
1/09/2005,490.00,320.00,314.90,275.00,315.00,245.00,295.00,365.00
1/12/2005,500.00,332.00,320.00,280.00,340.00,252.50,320.00,387.00
1/03/2006,470.00,330.00,325.00,280.00,370.00,260.00,341.50,385.00
1/06/2006,495.00,345.00,330.00,286.00,415.00,270.00,349.50,399.50
1/09/2006,482.00,346.00,335.00,290.00,450.00,270.00,360.00,413.00
1/12/2006,500.00,360.00,343.50,300.00,470.00,278.00,380.00,420.80
1/03/2007,480.00,345.00,352.00,305.00,475.00,280.00,389.50,430.00
1/06/2007,512.30,362.00,375.00,315.00,465.00,291.50,395.00,445.00
1/09/2007,514.00,370.00,390.00,335.00,475.00,285.00,400.00,460.00
1/12/2007,540.00,410.00,415.00,358.00,480.00,310.00,418.50,468.00
1/03/2008,495.00,385.00,425.00,360.00,470.00,308.50,420.00,470.00
1/06/2008,517.00,400.00,425.00,365.00,455.00,305.00,422.30,474.00
1/09/2008,482.00,385.00,410.00,360.00,440.00,292.50,430.00,447.00
1/12/2008,468.00,385.00,399.00,355.00,425.00,300.00,445.00,450.00
1/03/2009,448.00,375.00,400.00,353.50,439.00,296.50,455.00,459.50
1/06/2009,490.00,400.00,420.00,363.00,455.00,310.00,465.00,455.00
1/09/2009,500.00,422.00,430.00,370.00,473.00,310.10,490.00,456.00
1/12/2009,595.00,477.50,455.00,398.80,505.00,350.00,520.00,509.00
1/03/2010,583.00,468.00,460.00,402.00,518.00,350.50,529.00,530.00
1/06/2010,612.50,500.00,465.00,410.00,510.00,343.80,530.00,516.20
1/09/2010,598.00,488.30,460.00,400.00,500.00,340.00,535.00,530.00
1/12/2010,620.00,520.00,460.00,410.00,500.00,345.00,545.00,534.50
1/03/2011,575.00,485.00,450.00,400.00,500.00,338.00,510.00,530.00
1/06/2011,592.00,502.50,442.00,395.00,485.00,330.00,500.00,533.00
1/09/2011,567.00,487.00,433.00,390.00,470.00,335.00,497.00,490.00
1/12/2011,533.00,495.00,430.00,385.00,480.00,337.50,515.00,500.00
1/03/2012,607.50,478.00,430.00,382.00,489.50,343.00,525.00,512.50
1/06/2012,600.00,485.00,435.00,385.00,499.00,327.50,543.50,482.50
1/09/2012,585.00,480.00,435.00,386.00,495.00,315.00,540.00,490.00
1/12/2012,640.00,508.00,440.00,395.00,510.00,331.30,561.00,519.00
1/03/2013,615.00,486.00,440.00,395.00,520.00,340.00,530.00,505.00
1/06/2013,650.00,500.00,445.00,395.00,529.00,330.00,540.00,510.00
1/09/2013,670.00,520.00,449.00,395.00,520.00,325.00,570.00,505.00
1/12/2013,745.00,561.00,465.00,412.00,552.00,350.00,579.00,503.30
1/03/2014,680.00,504.00,448.00,407.00,530.50,360.00,595.00,553.70
1/06/2014,728.00,528.90,459.00,405.00,525.00,340.00,557.50,550.00
1/09/2014,730.00,505.00,451.00,410.00,530.00,345.00,570.00,554.00
1/12/2014,816.00,552.50,467.00,425.00,531.00,356.50,581.00,570.00
1/03/2015,792.50,525.00,462.80,415.50,536.50,360.00,570.00,585.00
1/06/2015,860.00,561.00,465.00,420.00,537.00,350.00,595.00,580.00
1/09/2015,888.20,580.00,475.00,427.50,520.00,340.00,580.00,587.50
1/12/2015,915.00,612.30,490.00,436.00,525.00,370.00,575.00,615.00
1/03/2016,850.00,568.00,483.50,436.00,518.00,360.00,570.00,590.00
1/06/2016,895.00,610.00,495.00,440.00,520.00,365.00,548.00,623.00
1/09/2016,900.00,605.00,500.00,445.00,510.00,370.00,520.00,615.80
1/12/2016,985.50,675.00,515.00,447.00,525.00,392.00,522.00,636.00
1/03/2017,930.00,657.50,510.00,451.30,510.00,389.50,530.00,654.50
1/06/2017,1050.00,720.00,518.00,450.00,506.00,400.00,500.00,670.00
1/09/2017,950.00,692.00,525.00,451.00,500.00,395.00,500.00,667.50
1/12/2017,1029.00,750.00,535.00,470.00,515.00,421.00,513.80,690.00
1/03/2018,955.00,731.00,526.00,465.00,510.00,449.00,500.00,698.50
1/06/2018,973.10,750.00,532.00,468.00,510.00,457.80,506.00,690.00
1/09/2018,950.00,720.00,540.00,466.30,485.00,440.30,500.00,700.00
1/12/2018,940.00,735.00,540.00,480.00,489.00,465.00,510.00,720.00
1/03/2019,870.00,685.00,533.00,475.00,490.00,471.50,485.00,690.00
1/06/2019,897.00,700.00,538.00,478.50,480.00,490.00,470.00,715.00
1/09/2019,900.00,705.00,540.00,474.00,478.00,480.00,489.00,676.00
1/12/2019,985.00,760.00,550.00,485.00,495.00,518.50,470.00,745.00
1/03/2020,949.00,730.00,540.00,473.00,477.50,529.50,470.00,720.80
1/06/2020,955.50,720.00,547.00,487.50,475.00,520.00,465.00,720.50
1/09/2020,950.00,710.00,555.00,500.00,495.00,530.00,500.00,755.00
1/12/2020,1015.00,780.00,575.00,513.30,530.00,570.00,520.00,788.00
1/03/2021,1070.00,850.00,608.70,530.00,540.00,610.00,540.00,830.00
1/06/2021,1210.00,918.00,651.00,560.00,550.00,632.00,573.30,901.50
1/09/2021,1290.00,932.00,695.00,600.00,530.00,687.40,575.00,942.00
1/12/2021,1300.00,995.00,765.00,647.30,560.00,745.00,590.00,1050.00
1/03/2022,1590.93,1092.14,831.35,750.08,622.03,758.14,635.39,1124.95
1/06/2022,1535.87,1075.15,857.25,773.10,654.96,762.16,647.04,1174.37
1/09/2022,1464.37,1028.45,811.31,795.09,645.95,741.28,623.82,1096.11
1/12/2022,1441.55,1028.13,806.80,792.47,664.32,709.80,643.88,1073.96
1/03/2023,1459.86,1023.76,805.82,795.36,672.18,689.13,623.60,1047.11
1/06/2023,1538.02,1028.00,823.27,813.84,690.47,709.28,642.21,1034.06
1/09/2023,1578.10,1032.27,848.75,844.65,713.81,717.00,577.66,1042.73
