Date,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory
1975,142.00,139.00,133.00,134.00,140.00,135.00,166.00,185.00
1976,161.00,159.00,152.00,153.00,160.00,153.00,170.00,198.00
1977,179.00,172.00,167.00,168.00,180.00,167.00,205.00,224.00
1978,197.00,191.00,188.00,183.00,195.00,186.00,221.00,247.00
1979,207.00,206.00,199.00,197.00,205.00,196.00,247.00,258.00
1980,,,,,,,,
1981,,,,,,,,
1982,299.00,291.00,289.00,281.00,294.00,267.00,351.00,355.00
1983,316.00,303.00,303.00,297.00,311.00,294.00,380.00,387.00
1984,343.00,328.00,323.00,317.00,335.00,321.00,419.00,413.00
1985,362.00,358.00,350.00,349.00,358.00,337.00,410.00,458.00
1986,,,,,,,,
1987,,,,,,,,
1988,,,,,,,,
1989,460.00,460.00,460.00,420.00,500.00,460.00,540.00,580.00
1990,500.00,500.00,460.00,460.00,500.00,460.00,540.00,620.00
1991,,,,,,,,
1992,540.00,540.00,500.00,500.00,540.00,500.00,580.00,660.00
1993,540.00,540.00,540.00,540.00,580.00,500.00,620.00,700.00
1994,580.00,580.00,540.00,540.00,620.00,540.00,620.00,700.00
1995,620.00,580.00,580.00,580.00,620.00,540.00,580.00,740.00
1996,,,,,,,,
1997,650.00,650.00,624.60,600.00,689.00,576.40,744.20,797.10
1998,680.00,660.00,627.00,600.00,671.20,598.70,714.30,800.00
1999,736.00,690.00,648.00,660.00,750.00,615.00,750.00,820.00
2000,750.00,750.00,700.00,690.00,769.00,650.00,808.80,900.00
2001,795.40,750.00,725.00,714.50,771.50,700.00,768.40,900.00
2002,800.00,800.00,750.00,743.40,826.00,700.00,850.00,923.00
2003,850.00,800.00,800.00,769.90,865.00,750.00,792.90,956.30
2004,890.00,850.00,800.00,768.00,869.40,750.00,924.50,1000.00
2005,927.50,900.00,850.00,850.00,936.00,775.00,903.10,1021.50
2006,980.00,950.00,925.00,900.00,1000.00,850.00,950.00,1134.60
2007,1000.00,1000.00,975.00,950.00,1075.00,852.60,1095.70,1258.40
2008,1050.00,1000.00,1000.00,936.00,1192.00,900.00,1100.00,1250.00
2009,1100.00,1035.00,1055.00,1000.00,1200.00,995.90,1250.00,1300.00
2010,1144.30,1075.00,1118.00,1017.40,1300.00,1000.00,1216.50,1346.00
2011,1200.00,1105.00,1200.00,1066.90,1400.00,1000.00,1200.00,1350.00
2012,1209.20,1150.00,1200.00,1150.00,1482.00,1051.70,1282.00,1500.00
2013,1250.00,1169.30,1250.00,1200.00,1447.70,1100.00,1473.00,1465.00
2014,1300.00,1259.80,1300.00,1197.70,1581.70,1100.00,1583.90,1575.90
2015,1346.00,1250.00,1251.70,1208.60,1500.00,1124.30,1400.00,1577.10
2016,1340.40,1300.00,1264.70,1250.00,1500.00,1200.00,1500.00,1538.00
2017,1356.70,1327.00,1350.00,1228.40,1515.80,1200.00,1500.00,1600.00
2018,1438.00,1400.00,1400.00,1270.90,1607.00,1250.00,1498.30,1586.70
2019,1495.00,1422.00,1424.00,1342.00,1662.70,1306.00,1500.00,1646.00
2020,1500.00,1500.00,1400.00,1344.60,1800.00,1340.50,1534.00,1728.90
2021,1564.00,1500.00,1500.00,1439.40,1764.00,1296.10,1621.60,1820.00
2022,1591.00,1572.00,1549.00,1420.00,1917.00,1402.50,1730.00,1873.50
2023,1685.00,1688.10,1668.40,1514.40,1842.70,1500.00,1750.00,1750.00
