Date,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory
1975,111,113,105,104,106,108,116,125
1976,127,126,122,124,126,121,126,149
1977,144,142,136,138,142,140,157,159
1978,156,156,148,151,155,149,169,179
1979,167,166,157,161,165,160,175,185
1980,,,,,,,,
1981,,,,,,,,
1982,235,233,225,229,229,223,258,265
1983,254,247,245,247,243,241,286,277
1984,277,268,259,264,270,258,305,293
1985,291,288,278,285,287,279,325,322
1986,,,,,,,,
1987,,,,,,,,
1988,,,,,,,,
1989,380,380,380,380,380,380,420,460
1990,420,420,380,380,420,380,420,500
1991,,,,,,,,
1992,460,460,420,460,460,420,500,500
1993,500,500,460,460,460,420,500,580
1994,500,500,460,500,500,460,540,580
1995,500,500,500,500,500,500,500,580
1996,,,,,,,,
1997,574,550,530,538,502.9,542.6,575,619.02
1998,600,550,550,530.81,550,528.91,600,650
1999,615,600,566.26,550.84,580,550,649,700
2000,625,626.91,600,600,600,593.02,633.65,761.18
2001,673,650,600,641.61,600,600,669.57,750
2002,700,673,634.22,665.62,673,596,698.03,807
2003,737.43,700,650,682.79,690,655,714.34,850
2004,760,735.15,681.64,719,700,671.9,779.43,884.57
2005,790,794.81,720,702.07,750,725.33,798.16,938.16
2006,820.69,805,750,767,750,750,800.83,1000
2007,863,850,800,815,826.7,750,811.31,1115
2008,920,897,850,810.42,900,831.82,950.74,1114.56
2009,920,900,900,901.92,918.53,852.77,1000,1162.12
2010,1000,965.87,900,900,1000,900,1000,1189.44
2011,1000,980,999,962.02,1000,923.6,1100,1245.08
2012,1050,1016.15,1000,1000,1102.76,962.42,1057,1274.09
2013,1057,1000,998.69,1000,1100,961,1144.88,1350
2014,1150,1050.59,1036.19,1051.4,1187.68,1000,1248.19,1340.97
2015,1140,1100,1100,1123.81,1178.36,1054.14,1200,1440.81
2016,1157.6,1139.95,1100,1100,1227.93,1062.17,1243.17,1368.67
2017,1200,1178,1150,1100,1250,1100,1250,1433
2018,1250,1200,1191.46,1161.43,1250.34,1150,1250,1500
2019,1276.2,1250,1200,1150,1300,1200.91,1350,1460.67
2020,1343.55,1342,1279.55,1216,1442.12,1235.36,1337.88,1550
2021,1400,1386.99,1250,1289.75,1400,1250,1500,1600
2022,1414.15,1478.11,1401,1326.89,1400,1300.38,1500,1630
2023,1534,1500,1424.85,1423.52,1500,1474.04,1459.65,1720.38
