Date,Mid Price
29/02/2020,4.71
31/12/2019,4.71
30/09/2019,5.2
28/06/2019,5.3
29/03/2019,5.41
31/12/2018,5.36
28/09/2018,5.32
29/06/2018,5.28
30/03/2018,5.28
29/12/2017,5.28
29/09/2017,5.28
30/06/2017,5.31
31/03/2017,5.3
30/12/2016,5.2
30/09/2016,5.2
30/06/2016,5.3
31/03/2016,5.5
31/12/2015,5.5
30/09/2015,5.4
30/06/2015,5.4
31/03/2015,5.55
31/12/2014,5.35
30/09/2014,5.35
30/06/2014,5.35
31/03/2014,5.35
31/12/2013,5.55
30/09/2013,5.55
28/06/2013,5.8
29/03/2013,6
31/12/2012,6
28/09/2012,6.35
29/06/2012,6.4
30/03/2012,6.85
30/12/2011,6.8
30/09/2011,7.35
30/06/2011,7.35
31/03/2011,7.3
31/12/2010,7.35
30/09/2010,6.95
30/06/2010,6.95
31/03/2010,6.5
31/12/2009,6.25
30/09/2009,5.45
30/06/2009,5.4
31/03/2009,5.45
31/12/2008,6.5
30/09/2008,9
30/06/2008,9.15
31/03/2008,8.9
31/12/2007,8.15
28/09/2007,7.8
29/06/2007,7.55
30/03/2007,7.6
29/12/2006,7.6
29/09/2006,7.35
30/06/2006,7.15
31/03/2006,6.9
30/12/2005,6.95
30/09/2005,6.95
30/06/2005,6.95
31/03/2005,6.95
31/12/2004,6.7
30/09/2004,6.7
30/06/2004,6.65
31/03/2004,6.75
31/12/2003,6.7
30/09/2003,6.25
30/06/2003,6.25
31/03/2003,6.25
31/12/2002,6.25
30/09/2002,6.2
28/06/2002,6.2
29/03/2002,5.7
31/12/2001,5.7
28/09/2001,6.2
29/06/2001,6.35
30/03/2001,6.95
29/12/2000,7.65
29/09/2000,7.65
30/06/2000,7.4
31/03/2000,7
31/12/1999,6.5
30/09/1999,6.2
30/06/1999,6.2
31/03/1999,6.2
31/12/1998,6.15
30/09/1998,6.35
30/06/1998,6.4
31/03/1998,6.4
31/12/1997,6.35
30/09/1997,6.4
30/06/1997,6.9
31/03/1997,7.4
31/12/1996,7.85
30/09/1996,8.65
28/06/1996,9
29/03/1996,9
29/12/1995,9.25
29/09/1995,9.3
30/06/1995,9.4
31/03/1995,9.2
30/12/1994,8.05
30/09/1994,7.65
30/06/1994,7.7
31/03/1994,7.85
31/12/1993,8.75
30/09/1993,9
30/06/1993,9
