Date,Mortgage rates,Cash rate target,3 months TD
31/07/2019,3.83,1.02,1.11
31/08/2019,3.81,1,0.98
30/09/2019,3.78,1,0.98
31/10/2019,3.68,0.76,0.88
30/11/2019,3.67,0.75,0.91
31/12/2019,3.64,0.75,0.90
31/01/2020,3.63,0.75,0.89
29/02/2020,3.6,0.75,0.89
31/03/2020,3.36,0.43,0.53
30/04/2020,3.3,0.25,0.17
31/05/2020,3.27,0.25,0.10
30/06/2020,3.23,0.25,0.10
31/07/2020,3.2,0.25,0.10
31/08/2020,3.17,0.25,0.10
30/09/2020,3.14,0.25,0.09
31/10/2020,3.11,0.25,0.07
30/11/2020,3.08,0.11,0.02
31/12/2020,3.04,0.1,0.02
31/01/2021,3.01,0.1,0.01
28/02/2021,2.98,0.1,0.01
31/03/2021,2.93,0.1,0.03
30/04/2021,2.89,0.1,0.04
31/05/2021,2.86,0.1,0.04
30/06/2021,2.82,0.1,0.03
31/07/2021,2.79,0.1,0.02
31/08/2021,2.76,0.1,0.01
30/09/2021,2.73,0.1,0.01
31/10/2021,2.71,0.1,0.04
30/11/2021,2.68,0.1,0.04
31/12/2021,2.67,0.1,0.06
31/01/2022,2.66,0.1,0.07
28/02/2022,2.65,0.1,0.07
31/03/2022,2.64,0.1,0.17
30/04/2022,2.63,0.1,0.41
31/05/2022,2.78,0.33,1.00
30/06/2022,3.07,0.73,1.60
31/07/2022,3.39,1.28,2.07
31/08/2022,3.71,1.81,2.31
30/09/2022,4.02,2.25,2.76
31/10/2022,4.19,2.58,2.95
30/11/2022,4.36,2.84,3.06
31/12/2022,4.53,3.05,3.17
31/01/2023,4.53,3.1,3.32
28/02/2023,4.69,3.29,3.46
31/03/2023,4.86,3.54,3.64
30/04/2023,4.9,3.6,3.66
31/05/2023,5.11,3.83,3.90
30/06/2023,5.35,4.05,4.25
31/07/2023,5.41,4.1,4.30
31/08/2023,5.46,4.1,4.15
30/09/2023,5.51,4.1,4.13
31/10/2023,5.56,4.1,4.21
30/11/2023,5.8,4.29,4.38
31/12/2023,5.85,4.35,4.35
,,,
