Date,3-month BAB/Deposit Yields,Cash rate target,Mortgage rates
Jun-1969,5.90,,
Jul-1969,5.80,,
Aug-1969,6.10,,
Sep-1969,5.80,,
Oct-1969,5.60,,
Nov-1969,5.70,,
Dec-1969,5.65,,
Jan-1970,5.80,,
Feb-1970,6.30,,
Mar-1970,7.15,,
Apr-1970,8.60,,
May-1970,9.10,,
Jun-1970,8.70,,
Jul-1970,7.40,,
Aug-1970,6.80,,
Sep-1970,6.35,,
Oct-1970,6.40,,
Nov-1970,6.20,,
Dec-1970,6.50,,
Jan-1971,6.60,,
Feb-1971,7.60,,
Mar-1971,8.00,,
Apr-1971,7.80,,
May-1971,7.80,,
Jun-1971,8.15,,
Jul-1971,6.80,,
Aug-1971,6.70,,
Sep-1971,6.45,,
Oct-1971,6.30,,
Nov-1971,6.00,,
Dec-1971,5.90,,
Jan-1972,5.60,,
Feb-1972,5.50,,
Mar-1972,5.50,,
Apr-1972,5.50,,
May-1972,5.60,,
Jun-1972,5.75,,
Jul-1972,4.60,,
Aug-1972,4.60,,
Sep-1972,4.50,,
Oct-1972,4.30,,
Nov-1972,5.10,,
Dec-1972,4.45,,
Jan-1973,4.70,,
Feb-1973,4.80,,
Mar-1973,5.45,,
Apr-1973,5.80,,
May-1973,6.40,,
Jun-1973,6.40,,
Jul-1973,6.50,,
Aug-1973,6.40,,
Sep-1973,9.25,,
Oct-1973,9.65,,
Nov-1973,9.20,,
Dec-1973,9.25,,
Jan-1974,9.25,,
Feb-1974,9.50,,
Mar-1974,10.10,,
Apr-1974,16.25,,
May-1974,21.75,,
Jun-1974,18.80,,
Jul-1974,15.00,,
Aug-1974,14.20,,
Sep-1974,12.60,,
Oct-1974,10.40,,
Nov-1974,10.30,,
Dec-1974,9.75,,
Jan-1975,8.95,,
Feb-1975,9.00,,
Mar-1975,8.75,,
Apr-1975,9.80,,
May-1975,8.90,,
Jun-1975,8.80,,
Jul-1975,8.15,,
Aug-1975,8.15,,
Sep-1975,8.10,,
Oct-1975,7.95,,
Nov-1975,8.05,,
Dec-1975,7.70,,
Jan-1976,7.65,,
Feb-1976,8.35,,
Mar-1976,8.40,,
Apr-1976,9.61,,
May-1976,10.24,,
Jun-1976,10.27,,
Jul-1976,9.67,,
Aug-1976,9.36,,
Sep-1976,9.31,,
Oct-1976,9.06,,
Nov-1976,9.52,,
Dec-1976,9.44,,
Jan-1977,8.93,,
Feb-1977,9.31,,
Mar-1977,9.73,,
Apr-1977,10.86,,
May-1977,10.94,,
Jun-1977,10.95,,
Jul-1977,10.72,,
