wave,Id,Owns Property,Weekly Gross Income,FY disposable income +,FY disposable income -
6,56871,1,0,23780,0
10,52841,1,0,9200,0
14,148851,1,0,11230,0
18,148231,1,192,26652,0
6,13071,1,659,27441,0
10,14151,1,851,42585,0
14,120611,1,1051,42059,0
18,129781,1,900,47031,0
6,13971,1,767,54328,0
10,15241,1,1452,65152,0
14,121581,1,1918,90817,0
18,120481,1,2831,127796,0
6,72191,1,155,11664,0
10,74841,1,285,15543,0
14,203121,1,375,20341,0
18,202811,1,700,31415,0
6,72191,1,2300,82778,0
10,74841,1,2700,106311,0
14,203121,1,3000,119077,0
18,202812,1,2877,108499,0
6,17541,0,904,35119,0
10,19411,0,1100,43822,0
14,125301,0,1584,60274,0
18,124681,0,1585,68619,0
6,5871,1,0,19945,0
10,6681,1,0,500,0
14,114061,1,437,48200,0
18,113461,1,0,25592,0
6,5871,1,1300,275755,0
10,6681,1,2000,100212,0
14,114281,1,3269,123311,0
18,113861,1,0,125894,0
6,7321,1,885,36739,0
10,8211,1,1020,49278,0
14,115471,1,1148,55710,0
18,115131,1,0,89940,0
6,17851,0,620,29835,0
10,19751,1,620,31063,0
14,125661,1,780,42959,0
18,125071,1,775,33583,0
6,17851,0,770,37768,0
10,19751,1,680,51853,0
14,125661,1,1200,58398,0
18,125071,1,1500,61137,0
6,39551,1,0,7668,0
10,37541,1,0,6237,0
14,182221,1,0,5870,0
18,182911,1,0,6000,0
6,39551,1,675,33600,0
10,37541,1,680,33816,0
14,182221,1,896,40578,0
18,182911,1,1045,84903,0
6,60971,1,0,9209,0
10,62021,1,1458,61554,0
14,149051,1,0,40223,0
18,148561,1,0,6716,0
6,60971,1,5500,197636,0
10,62021,1,7600,278643,0
14,149051,1,12082,370403,0
18,148561,1,15319,410696,0
6,60971,0,1036,46579,0
10,62031,1,1680,67629,0
14,149491,1,2014,78748,0
18,149011,1,3069,107604,0
6,48761,1,146,23132,0
10,77091,1,0,18120,0
14,206401,1,0,23000,0
18,204941,1,0,23582,0
6,9021,1,0,11510,0
10,18161,1,0,13446,0
14,124211,1,0,17005,0
18,123631,1,0,17790,0
6,9021,1,0,35051,0
10,18161,1,0,12900,0
14,124211,1,0,16300,0
18,123631,1,0,17790,0
6,6401,1,0,20963,0
10,7251,1,0,32900,0
14,114761,1,0,32495,0
18,114441,1,0,32034,0
6,53951,1,730,33954,0
10,54501,1,0,37164,0
14,142001,1,900,42807,0
18,149131,1,800,31876,0
6,53951,1,0,5740,0
10,54501,1,0,12202,0
14,142001,1,0,12061,0
18,149121,1,650,64773,0
6,33661,1,1035,47831,0
10,28101,1,1135,78046,0
14,174161,1,1550,83394,0
18,174091,1,2035,73749,0
6,59621,1,0,22280,0
10,60531,1,0,20100,0
14,153621,1,0,20300,0
18,152891,1,0,10634,0
6,59621,0,1082,12519,0
10,60532,1,1070,45148,0
14,143561,1,0,66587,0
18,156431,1,1842,67862,0
6,73771,1,975,33057,0
10,76431,1,1033,43118,0
14,204661,1,1350,45171,0
18,204341,1,1483,73287,0
6,49921,1,1185,51753,0
10,50301,1,550,41570,0
14,210331,1,500,45550,0
18,210351,1,0,17346,0
6,49921,1,392,22701,0
10,50301,1,450,33362,0
14,210331,1,600,31000,0
18,210351,1,800,41341,0
6,65771,1,1049,44126,0
10,67431,1,1290,58183,0
14,153961,1,1583,68643,0
18,153301,1,209,52455,0
6,73781,0,550,9739,0
10,76441,0,650,27533,0
14,204671,0,850,39244,0
18,204351,0,865,38979,0
6,51641,1,634,29154,0
10,52031,1,830,37180,0
14,211991,1,125,25476,0
18,212001,1,399,33778,0
6,51651,1,450,23278,0
10,51911,1,450,29134,0
14,212391,1,800,35905,0
18,212521,1,820,39705,0
6,15251,1,194,7947,0
10,17241,1,0,11390,0
14,123421,1,0,16569,0
18,122861,1,0,8764,0
6,15251,1,846,38674,0
10,17241,1,0,13600,0
14,123421,1,0,16569,0
18,122861,1,0,13064,0
6,14171,1,1250,55353,0
10,15351,1,1050,43624,0
14,132141,1,1750,54566,0
18,121241,1,1000,43520,0
6,33881,1,0,38949,0
10,30981,1,0,30599,0
14,170091,1,0,32368,0
18,170031,1,1239,51445,0
6,31371,1,1250,50044,0
10,28271,1,1520,62275,0
14,170581,1,0,202183,0
18,170601,1,0,53323,0
6,31371,1,1022,40064,0
10,28271,1,1000,57346,0
14,170581,1,0,133131,0
18,170601,1,0,400,0
6,50231,1,0,38617,0
10,50651,1,0,74125,0
14,151971,1,2659,108356,0
18,151331,1,0,109248,0
6,50141,0,829,33359,0
10,50241,1,1200,51157,0
14,210431,1,1100,47268,0
18,210171,1,1800,72075,0
6,38741,1,900,6592,0
10,36511,1,0,11097,0
14,185851,1,0,17941,0
18,187011,1,0,35564,0
6,37241,1,650,31266,0
10,30071,1,900,41260,0
14,171501,1,835,39618,0
18,171711,1,1020,44903,0
6,30371,1,0,37935,0
10,27091,1,0,29280,0
14,173341,1,400,29163,0
18,173391,1,0,80534,0
6,29641,1,948,38640,0
10,26301,1,1026,44322,0
14,172691,1,750,36405,0
18,172971,1,1013,42934,0
6,29641,0,1000,43663,0
10,26311,1,1264,55341,0
14,170501,1,1630,81694,0
18,170551,1,2246,87787,0
6,2991,1,2750,93459,0
10,3891,1,0,20203,0
14,130401,1,0,564,0
18,129751,1,209,11268,0
6,25361,1,0,15983,0
10,78241,1,0,33332,0
14,207511,1,0,0,25000
18,207071,1,0,27876,0
6,25361,1,0,28667,0
10,78241,1,0,11374,0
14,207511,1,0,31041,0
18,207071,1,0,48392,0
6,64141,0,900,33217,0
10,65691,1,1100,51999,0
14,152321,1,1450,63123,0
18,156791,1,1000,100941,0
6,62621,1,0,20170,0
10,63731,1,0,12000,0
14,150621,1,753,42184,0
18,149971,1,0,13300,0
6,62621,1,600,17786,0
10,63731,1,854,31933,0
14,150621,1,889,39313,0
18,149971,1,400,11500,0
6,9662,1,1841,62558,0
10,10721,1,1323,55264,0
14,117491,1,982,38688,0
18,117041,1,1535,51537,0
6,37341,1,0,29825,0
10,34911,1,0,48482,0
14,180061,1,0,57000,0
18,180611,1,0,57000,0
6,8911,1,200,15652,0
10,9911,1,270,40263,0
14,116671,1,250,23590,0
18,116291,1,1300,23883,0
6,1121,0,0,10920,0
10,1681,0,75,22185,0
14,110081,0,160,27540,0
18,110051,0,0,23582,0
6,1122,0,0,9600,0
10,1691,1,975,50117,0
14,130351,1,1220,63413,0
18,129691,1,0,48150,0
6,66051,0,1203,41968,0
10,54331,0,1488,71630,0
14,141801,0,1746,83075,0
18,141741,0,1744,70471,0
6,18901,1,0,12740,0
10,20951,1,0,18000,0
14,126721,1,0,21970,0
18,126081,1,0,26600,0
6,64301,1,330,17719,0
10,65831,1,450,27884,0
14,152591,1,622,27598,0
18,151931,1,908,43429,0
6,64301,1,1400,56605,0
10,65831,1,2400,80649,0
14,152591,1,1300,73732,0
18,151931,1,2800,75217,0
6,36361,1,0,37242,0
10,33611,1,0,20368,0
14,179122,1,0,14361,0
18,171041,1,350,33709,0
6,34961,1,1200,76426,0
10,32311,1,0,62256,0
14,177831,1,0,86846,0
18,178301,1,1600,80186,0
6,64221,0,700,31653,0
10,65351,1,997,43737,0
14,158991,1,550,0,33900
18,159471,1,504,0,9589
6,74691,1,0,61768,0
10,77441,1,0,34319,0
14,205461,1,0,7000,0
18,205081,1,0,65448,0
6,74691,1,0,79150,0
10,77441,1,0,86563,0
14,205461,1,0,45891,0
18,205081,1,0,62511,0
6,59961,1,1109,28324,0
10,60911,1,1059,46589,0
14,147871,1,1223,59735,0
18,147401,1,1551,85998,0
6,59961,1,0,0,0
10,60911,1,0,0,0
14,147871,1,0,3850,0
18,147401,1,0,3425,0
6,56661,1,1350,50234,0
10,55891,1,1400,50023,0
14,143631,1,1258,73059,0
18,143561,1,1639,78473,0
6,56661,0,1200,50747,0
10,55891,1,1527,64691,0
14,143631,1,1731,83583,0
18,143561,1,1792,79521,0
6,43951,1,0,19133,0
10,44331,1,0,35329,0
14,191711,1,0,42755,0
18,191761,1,0,38110,0
6,43951,1,263,16993,0
10,44331,1,445,25344,0
14,191711,1,537,29963,0
18,191761,1,499,27311,0
6,24961,0,250,40064,0
10,41701,1,1500,45300,0
14,187261,1,0,40606,0
18,176901,1,1346,37809,0
6,20961,1,597,37935,0
10,42251,1,1338,61554,0
14,187601,1,1488,68519,0
18,188211,1,800,51668,0
6,47791,0,475,11960,0
10,48321,0,707,31707,0
14,195391,0,0,18313,0
18,158291,1,0,25750,0
6,18341,1,0,12000,0
10,20381,1,0,2400,0
14,126231,1,0,61259,0
18,125671,1,0,61479,0
6,52881,1,2730,136844,0
10,56381,1,4058,165862,0
14,143831,1,4199,204288,0
18,143661,1,5524,207482,0
6,52881,1,515,21266,0
10,56381,1,0,5000,0
14,143831,1,120,8500,0
